"APP","MONTH_DT","ACTUAL_UP","EXPECTED_UP"
"App A8","01/31/2015",0.9959,0.98
"App A8","01/31/2015",1,0.991
"App A21","01/31/2015",1,0.95
"App A21","01/31/2015",1,0.98
"App A27","01/31/2015",1,0.991
"App A28","01/31/2015",1,0.95
"App A28","01/31/2015",1,0.97
"App A29","01/31/2015",1,0.95
"App A29","01/31/2015",1,0.97
"App A35","01/31/2015",1,0.98
"App A36","01/31/2015",1,0.98
"App A36","01/31/2015",1,0.991
"App A37","01/31/2015",0.9837,0.98
"App A38","01/31/2015",0.9944,0.98
"App A38","01/31/2015",0.9944,0.991
"App A39","01/31/2015",1,0.98
"App A40","01/31/2015",1,0.98
"App A40","01/31/2015",1,0.991
"App A41","01/31/2015",0.9959,0.98
"App A42","01/31/2015",1,0.98
"App A42","01/31/2015",1,0.991
"App A45","01/31/2015",0.9837,0.98
"App A46","01/31/2015",0.9944,0.98
"App A46","01/31/2015",0.9944,0.991
"App A47","01/31/2015",1,0.98
"App A48","01/31/2015",1,0.98
"App A48","01/31/2015",1,0.991
"App A49","01/31/2015",0.9837,0.98
"App A50","01/31/2015",0.9944,0.98
"App A50","01/31/2015",0.9944,0.991
"App A51","01/31/2015",0.9959,0.98
"App A52","01/31/2015",1,0.98
"App A52","01/31/2015",1,0.991
"App A53","01/31/2015",1,0.98
"App A54","01/31/2015",1,0.98
"App A54","01/31/2015",1,0.991
"App A55","01/31/2015",0.9837,0.98
"App A56","01/31/2015",0.9944,0.98
"App A56","01/31/2015",0.9944,0.991
"App A57","01/31/2015",0.9959,0.98
"App A58","01/31/2015",1,0.98
"App A58","01/31/2015",1,0.991
"App A59","01/31/2015",1,0.98
"App A60","01/31/2015",1,0.98
"App A60","01/31/2015",1,0.991
"App A61","01/31/2015",0.9837,0.98
"App A62","01/31/2015",0.9944,0.98
"App A62","01/31/2015",0.9944,0.991
"App A63","01/31/2015",0.9959,0.98
"App A64","01/31/2015",1,0.98
"App A64","01/31/2015",1,0.991
"App A65","01/31/2015",1,0.98
"App A66","01/31/2015",0.9957,0.98
"App A66","01/31/2015",0.9957,0.991
"App A67","01/31/2015",0.9837,0.98
"App A68","01/31/2015",0.9944,0.98
"App A68","01/31/2015",0.9944,0.991
"App A69","01/31/2015",0.9959,0.98
"App A70","01/31/2015",1,0.98
"App A70","01/31/2015",1,0.991
"App A71","01/31/2015",1,0.98
"App A72","01/31/2015",1,0.98
"App A72","01/31/2015",1,0.991
"App A73","01/31/2015",0.9837,0.98
"App A74","01/31/2015",0.9944,0.98
"App A74","01/31/2015",0.9944,0.991
"App A75","01/31/2015",0.9959,0.98
"App A76","01/31/2015",1,0.98
"App A76","01/31/2015",1,0.991
"App A77","01/31/2015",0.9959,0.98
"App A78","01/31/2015",1,0.98
"App A78","01/31/2015",1,0.991
"App A88","01/31/2015",1,0.99
"App A89","01/31/2015",1,1
"App A96","01/31/2015",1,0.995
"App A98","01/31/2015",1,0.95
"App A98","01/31/2015",1,0.97
"App A99","01/31/2015",0.9958,0.995
"App A99","01/31/2015",0.9972,0.995
"App A100","01/31/2015",1,0.98
"App A100","01/31/2015",1,0.991
"App A101","01/31/2015",1,0.995
"App A2","12/31/2014",1,0.95
"App A2","12/31/2014",1,0.98
"App A4","12/31/2014",1,0.95
"App A4","12/31/2014",1,0.98
"App A6","12/31/2014",1,0.95
"App A6","12/31/2014",1,0.97
"App A7","12/31/2014",1,0.96
"App A7","12/31/2014",1,0.98
"App A8","12/31/2014",1,0.98
"App A8","12/31/2014",1,0.991
"App A11","12/31/2014",1,0.98
"App A14","12/31/2014",1,0.98
"App A15","12/31/2014",1,0.98
"App A17","12/31/2014",1,0.95
"App A17","12/31/2014",1,0.97
"App A20","12/31/2014",1,0.95
"App A20","12/31/2014",1,0.97
"App A21","12/31/2014",1,0.95
"App A21","12/31/2014",1,0.98
"App A24","12/31/2014",1,0.95
"App A24","12/31/2014",1,0.97
"App A27","12/31/2014",1,0.991
"App A28","12/31/2014",1,0.95
"App A28","12/31/2014",1,0.97
"App A29","12/31/2014",1,0.95
"App A29","12/31/2014",1,0.97
"App A31","12/31/2014",1,0.95
"App A31","12/31/2014",1,0.98
"App A32","12/31/2014",1,0.93
"App A32","12/31/2014",1,0.98
"App A33","12/31/2014",1,0.95
"App A33","12/31/2014",1,0.97
"App A35","12/31/2014",1,0.98
"App A36","12/31/2014",1,0.98
"App A36","12/31/2014",1,0.991
"App A37","12/31/2014",0.9969,0.98
"App A38","12/31/2014",0.9862,0.98
"App A38","12/31/2014",0.9862,0.991
"App A39","12/31/2014",1,0.98
"App A40","12/31/2014",1,0.98
"App A40","12/31/2014",1,0.991
"App A41","12/31/2014",0.9954,0.98
"App A42","12/31/2014",0.9861,0.98
"App A42","12/31/2014",0.9861,0.991
"App A45","12/31/2014",0.9969,0.98
"App A46","12/31/2014",0.9856,0.98
"App A46","12/31/2014",0.9856,0.991
"App A47","12/31/2014",1,0.98
"App A48","12/31/2014",1,0.98
"App A48","12/31/2014",1,0.991
"App A49","12/31/2014",0.9969,0.98
"App A50","12/31/2014",0.9867,0.98
"App A50","12/31/2014",0.9867,0.991
"App A51","12/31/2014",0.9954,0.98
"App A52","12/31/2014",0.9861,0.98
"App A52","12/31/2014",0.9861,0.991
"App A53","12/31/2014",1,0.98
"App A54","12/31/2014",1,0.98
"App A54","12/31/2014",1,0.991
