"PROJ_ID","MONTH_DT","SCHEDULED","COMPLETED"
"Proj-12-1",2010-12-02,261,261
"Proj-7-26",2010-12-09,21,21
"Proj-10-27",2010-12-10,151,149
"Proj-10-29",2010-12-15,26,26
"Proj-14-30",2010-12-17,106,99
"Proj-15-30",2010-12-17,25.5,20.5
"Proj-16-30",2010-12-17,98.5,70
"Proj-17-30",2010-12-17,67,67
"Proj-5-30",2010-12-17,94,94
"Proj-6-30",2010-12-17,67.5,35
"Proj-8-30",2010-12-17,81,54
"Proj-9-30",2010-12-17,63.5,32.5
"Proj-11-18",2011-01-07,88,88
"Proj-10-17",2011-01-14,295,282
"Proj-12-2",2011-01-14,375,375
"Proj-16-31",2011-01-14,30.5,31.5
"Proj-16-53",2011-01-14,0,0
"Proj-5-31",2011-01-14,43,43
"Proj-6-31",2011-01-14,21,21
"Proj-6-53",2011-01-14,0,0
"Proj-8-31",2011-01-14,27,27
"Proj-8-53",2011-01-14,0,0
"Proj-9-31",2011-01-14,31,31
"Proj-14-31",2011-01-21,8,8
"Proj-14-53",2011-01-21,1,1
"Proj-15-31",2011-01-21,3,2
"Proj-15-53",2011-01-21,7.5,7.5
"Proj-16-53",2011-01-21,0,0
"Proj-17-31",2011-01-21,0,0
"Proj-17-53",2011-01-21,24,24
"Proj-11-34",2011-02-03,40,40
"Proj-12-3",2011-02-10,454.5,454.5
"Proj-10-33",2011-02-11,208,208
"Proj-7-4",2011-02-11,213,210
"Proj-14-55",2011-02-18,69,36
"Proj-15-55",2011-02-18,46,46
"Proj-16-55",2011-02-18,148,130
"Proj-17-55",2011-02-18,49,49
"Proj-5-55",2011-02-18,34.5,34.5
"Proj-6-55",2011-02-18,63,55
"Proj-8-55",2011-02-18,59.5,32
"Proj-9-55",2011-02-18,83,74
"Proj-10-35",2011-03-11,336,336
"Proj-11-36",2011-03-17,65,65
"Proj-7-5",2011-03-17,1215,1215
"Proj-14-56",2011-03-18,90,27
"Proj-15-56",2011-03-18,44,28
"Proj-16-56",2011-03-18,203,111
"Proj-17-56",2011-03-18,32,21
"Proj-5-56",2011-03-18,111,38
"Proj-6-56",2011-03-18,64,47
"Proj-8-56",2011-03-18,83.5,59
"Proj-9-56",2011-03-18,75,59
"Proj-12-6",2011-03-24,400,400
"Proj-10-37",2011-04-01,239,239
"Proj-14-57",2011-04-08,120,92
"Proj-15-57",2011-04-08,30.5,30.5
"Proj-16-57",2011-04-08,173,95
"Proj-17-57",2011-04-08,28,28
"Proj-5-57",2011-04-08,31,31
"Proj-6-57",2011-04-08,68.5,44
"Proj-8-57",2011-04-08,81,46.5
"Proj-9-57",2011-04-08,73,61
"Proj-12-7",2011-04-13,53,53
"Proj-11-38",2011-04-15,79,79
"Proj-12-9",2011-04-21,66,66
"Proj-7-8",2011-04-21,714,714
"Proj-11-40",2011-05-13,65,63
"Proj-10-39",2011-05-18,66,66
"Proj-12-11",2011-05-27,352,352
"Proj-7-10",2011-05-29,1058,1045
"Proj-10-28",2011-06-03,8,8
"Proj-10-41",2011-06-03,142,142
"Proj-10-41",2011-06-10,460,387
"Proj-10-43",2011-06-10,178,178
"Proj-11-44",2011-06-10,14,14
"Proj-13-58",2011-06-10,103,60
"Proj-14-58",2011-06-10,91,47
"Proj-15-58",2011-06-10,50.5,24.5
"Proj-16-58",2011-06-10,55.25,29.75
"Proj-17-58",2011-06-10,65,65
"Proj-6-58",2011-06-10,64.25,26.25
"Proj-8-58",2011-06-10,77.5,45
"Proj-9-58",2011-06-10,77,62
"Proj-11-44",2011-06-16,26,26
"Proj-7-12",2011-06-16,494,494
"Proj-12-13",2011-06-23,114,114
"Proj-10-46",2011-07-11,701,629
"Proj-13-59",2011-07-15,126.5,76
"Proj-14-59",2011-07-15,152,94
"Proj-15-59",2011-07-15,37,0
"Proj-16-59",2011-07-15,59,46.5
"Proj-17-59",2011-07-15,90,90
"Proj-6-59",2011-07-15,79,75.5
"Proj-8-59",2011-07-15,113,76.5
"Proj-9-59",2011-07-15,102,73
"Proj-7-21",2011-07-21,771,771
"Proj-12-14",2011-07-26,380,380
"Proj-13-60",2011-08-05,5,5
"Proj-14-60",2011-08-05,16.5,16.5
"Proj-15-60",2011-08-05,6.5,6.5
"Proj-16-60",2011-08-05,0,0
"Proj-6-60",2011-08-05,53,53
"Proj-8-60",2011-08-05,77.5,77.5
"Proj-9-60",2011-08-05,0,0
"Proj-10-47",2011-08-12,630,630
"Proj-13-61",2011-08-12,59,59
"Proj-14-61",2011-08-12,28,6
"Proj-15-61",2011-08-12,0,0
"Proj-16-61",2011-08-12,1,0
"Proj-17-61",2011-08-12,0,0
"Proj-27-47",2011-08-12,106,106
"Proj-28-47",2011-08-12,18,18
"Proj-5-20",2011-08-12,0,0
"Proj-6-20",2011-08-12,0,0
"Proj-6-61",2011-08-12,0,0
"Proj-9-61",2011-08-12,1,1
"Proj-7-22",2011-08-18,571,571
"Proj-11-48",2011-08-19,48,48
"Proj-12-15",2011-08-26,410,410
"Proj-13-62",2011-09-09,175,140
"Proj-14-62",2011-09-09,156,23
"Proj-15-62",2011-09-09,27,27
"Proj-16-62",2011-09-09,94.75,54.25
"Proj-17-62",2011-09-09,69,53
"Proj-5-62",2011-09-09,66,66
"Proj-6-62",2011-09-09,48,30.5
"Proj-8-62",2011-09-09,59,27.5
"Proj-9-62",2011-09-09,66,54
"Proj-11-50",2011-09-15,25,25
"Proj-7-23",2011-09-15,719,719
"Proj-27-49",2011-09-16,512,479
"Proj-28-49",2011-09-16,309,309
"Proj-12-16",2011-09-27,562,562
"Proj-13-63",2011-09-30,102,92
"Proj-14-63",2011-09-30,296,78
"Proj-15-63",2011-09-30,38,25
"Proj-16-63",2011-09-30,79.95,71.45
"Proj-17-63",2011-09-30,30.5,12.5
"Proj-5-63",2011-09-30,49,24
"Proj-6-63",2011-09-30,73.5,38.5
"Proj-8-63",2011-09-30,99,42
"Proj-9-63",2011-09-30,38,32
"Proj-11-51",2011-10-16,130,50
"Proj-7-24",2011-10-20,401,401
"Proj-10-52",2011-10-21,751,746
"Proj-13-64",2011-10-21,0,0
"Proj-14-64",2011-10-21,255,255
"Proj-15-64",2011-10-21,14,0
"Proj-16-64",2011-10-21,4,4
"Proj-17-64",2011-10-21,0,0
"Proj-5-64",2011-10-21,36,36
"Proj-6-64",2011-10-21,36.5,36.5
"Proj-8-64",2011-10-21,67.5,67.5
"Proj-9-64",2011-10-21,7,7
"Proj-12-19",2011-10-26,416,416
"Proj-7-25",2011-11-17,348,348
"Proj-11-68",2011-11-22,36,36
"Proj-10-67",2011-11-25,415,415
"Proj-12-65",2011-12-02,97,97
"Proj-7-66",2011-12-15,578,578
"Proj-10-71",2011-12-30,108,108
"Proj-11-71",2012-01-10,26,26
"Proj-10-76",2012-01-13,443,443
"Proj-12-69",2012-01-19,145,145
"Proj-7-70",2012-01-19,530,530
"Proj-13-73",2012-01-27,0,0
"Proj-14-73",2012-01-27,587,587
"Proj-16-73",2012-01-27,163.25,163.25
"Proj-17-73",2012-01-27,86.5,86.5
"Proj-5-73",2012-01-27,122,122
"Proj-6-73",2012-01-27,30,13
"Proj-8-73",2012-01-27,84,84
"Proj-9-73",2012-01-27,54,54
"Proj-7-75",2012-02-16,516,516
"Proj-14-98",2012-02-17,93,51
"Proj-5-98",2012-02-17,55,46
"Proj-6-98",2012-02-17,21,15
"Proj-8-98",2012-02-17,56,56
"Proj-9-98",2012-02-17,71,28
"Proj-10-102",2012-02-20,389,389
"Proj-12-74",2012-02-23,279.5,279.5
"Proj-13-100",2012-03-09,92,92
"Proj-14-100",2012-03-09,71,45
"Proj-15-100",2012-03-09,7.5,8
"Proj-16-100",2012-03-09,83,79
"Proj-17-100",2012-03-09,3,2.5
"Proj-6-100",2012-03-09,5,5
"Proj-8-100",2012-03-09,11,11
"Proj-9-100",2012-03-09,43,43
"Proj-7-101",2012-03-16,457,457
"Proj-12-99",2012-03-29,86,86
"Proj-10-109",2012-04-06,667,507
"Proj-14-104",2012-04-06,82,31
"Proj-9-104",2012-04-06,12,11
"Proj-7-105",2012-04-19,406,406
"Proj-12-103",2012-04-26,101,101
"Proj-13-107",2012-05-04,110,110
"Proj-14-107",2012-05-04,185,153
"Proj-16-107",2012-05-04,43.5,35.5
"Proj-31-107",2012-05-04,98.5,77.5
